iteration,sign_ns,verify_ns,total_ns
786,157067,31495,188579
787,143285,31018,174317
788,151042,31673,182728
789,149569,30755,180338
790,149803,31093,180911
791,139260,30929,170206
792,181453,31166,212633
793,138869,31289,170172
794,150648,31485,182148
795,138845,31171,170031
796,141305,31158,172477
797,155683,31290,186987
798,151411,31177,182603
799,138509,31153,169677
800,137475,31268,168757
801,204900,31629,236543
802,179055,31604,210674
803,153929,31318,185261
804,139486,31041,170540
805,149087,31071,180172
806,148706,31502,180224
807,179522,32620,212157
808,152354,31072,183441
809,137565,31316,168899
810,142373,31565,173951
811,176521,31273,207807
812,136974,31409,168397
813,191583,31698,223298
814,138878,31106,169997
815,138980,31289,170283
816,150976,31485,182475
817,150025,31067,181106
818,150131,31021,181164
819,181753,31353,213121
820,152221,31358,183592
821,150052,31515,181582
822,148212,31781,180004
823,138557,31117,169689
824,182589,31163,213766
825,138139,31231,169385
826,151158,31327,182499
827,141060,31136,172210
828,141831,31502,173347
829,151838,31383,183235
830,152062,31524,183600
831,137947,31595,169554
832,138068,31295,169377
833,207480,31499,238993
834,138717,31229,169960
835,155230,31033,186277
836,144493,31700,176206
837,152880,31227,184120
838,151063,31755,182833
839,183456,31217,214686
840,152156,31047,183217
841,140213,31218,171446
842,141492,31286,172790
843,178358,31207,209582
844,138282,31231,169528
845,189288,31535,220837
846,139352,31493,170858
847,137432,31575,169022
848,150799,31584,182396
849,151103,31361,182478
850,149495,31614,181124
851,187102,31893,219009
852,153567,31229,184812
853,149099,31274,180387
854,149350,31453,180818
855,138824,31190,170030
856,181380,31221,212615
857,140547,31017,171578
858,150925,31446,182385
859,137417,31314,168745
860,141782,31463,173257
861,151512,31485,183010
862,153704,31469,185187
863,138859,31620,170494
864,137468,31508,168989
865,203765,31595,235377
866,139597,31203,170815
867,152457,31317,183788
868,140976,30826,171817
869,152184,31081,183286
870,148900,30879,179794
871,178371,31232,209616
872,149594,32452,182060
873,140306,31237,171557
874,141179,31361,172554
875,181696,31588,213297
876,137917,31244,169176
877,149931,31219,181162
878,139850,31270,171133
879,140269,31365,171647
880,149669,31035,180718
881,150292,31137,181443
882,148223,31724,179961
883,177214,32582,209811
884,153043,31511,184569
885,150603,31651,182269
886,150740,31581,182335
887,138508,31135,169658
888,179610,31238,210863
889,142480,31306,173798
890,154824,31112,185949
891,144655,31775,176445
892,143810,31384,175210
893,149561,31820,181397
894,148799,32560,181374
895,142549,30918,173483
896,139803,31312,171127
897,209105,31526,240646
898,139564,31517,171096
899,149606,31319,180939
900,142425,31381,173821
901,151720,31461,183196
902,154032,30756,184802
903,179982,31282,211279
904,151385,30846,182244
905,143543,31011,174567
906,142697,31212,173923
907,179046,31489,210548
908,139605,31435,171054
909,188932,31461,220406
910,139453,32028,171494
911,142643,31525,174239
912,152296,31657,183966
913,149459,31374,180847
914,149313,31131,180459
915,178932,31113,210060
916,154164,31225,185403
917,151192,31129,182336
918,150608,31458,182082
919,140310,31601,171924
920,179515,31405,210933
921,141963,31157,173135
922,156965,31423,188402
923,139869,31212,171097
924,143051,31341,174407
925,149545,31794,181353
926,153151,31525,184691
927,141188,31329,172531
928,139514,31231,170760
929,213194,31115,244322
930,140277,31436,171728
931,152568,31440,184022
932,146837,31151,178002
933,156788,32325,189128
934,156976,31701,188692
935,182521,30918,213452
936,150897,31226,182137
937,139197,33503,172716
938,149346,31733,181093
939,180757,31048,211821
940,139817,30987,170819
941,193554,31390,224959
942,141084,31292,172391
943,145086,31642,176743
944,152764,31409,184187
945,152299,31525,183840
946,150400,31762,182176
947,177073,30780,207868
948,156144,31718,187877
949,153326,31863,185205
950,154095,31275,185385
951,142873,31469,174355
952,181155,31254,212422
953,139516,31630,171159
954,155580,31286,186880
955,144421,31445,175882
956,143443,31215,174671
957,151875,31489,183379
958,151614,31394,183022
959,143452,31179,174646
960,140587,31558,172160
961,213576,30740,244331
962,139466,31056,170537
963,150209,31471,181695
964,140726,31298,172039
965,151121,30893,182027
966,149343,31182,180542
967,177268,31312,208595
968,150814,31488,182315
969,138461,31548,170024
970,149668,31518,181201
971,178255,31280,209550
972,140628,31538,172181
973,192272,31562,223848
974,140725,31606,172346
975,142495,31463,173974
976,151954,31238,183206
977,150702,30952,181677
978,150555,31567,182135
979,138929,31117,170060
980,149161,32695,181871
981,153495,31500,185009
982,150844,31245,182106
983,138467,31450,169931
984,178203,31787,210003
985,142238,31319,173572
986,158237,31043,189293
987,142438,31485,173939
988,143152,31608,174775
989,152091,31237,183342
990,149794,31371,181179
991,137822,33197,171034
992,141415,30858,172288
993,210237,31260,241510
994,138995,31509,170519
995,149958,31828,181803
996,138627,31340,169980
997,153369,31020,184403
998,152175,31241,183430
999,179897,31350,211262
1000,149406,31009,180429
1001,141484,31295,172793
1002,146223,31395,177632
1003,181079,31188,212283
1004,138888,31602,170504
1005,150035,31522,181570
1006,138355,31536,169905
1007,137834,31308,169156
1008,153526,31406,184946
1009,152511,31353,183878
1010,150801,31264,182079
1011,179451,31538,211003
1012,150483,31138,181643
1013,152082,32040,184135
1014,151098,31284,182396
1015,138500,30795,169310
1016,180720,31195,211929
1017,138579,31422,170013
1018,154808,32061,186883
1019,149902,31549,181465
1020,145150,31522,176687
1021,152048,31353,183421
1022,149642,31357,181019
1023,138961,31140,170116
1024,141298,31602,172915
1025,212789,31211,244013
1026,140981,31510,172506
1027,151089,31181,182290
1028,138843,31230,170093
1029,150671,31466,182156
1030,152255,31115,183384
1031,178750,31261,210031
1032,149312,31406,180731
1033,138727,31512,170256
1034,144214,31671,175900
1035,185568,31476,217058
1036,139609,31284,170914
1037,187934,31386,219339
1038,137850,31384,169248
1039,137595,31523,169139
1040,151691,31082,182792
1041,150782,31279,182080
1042,149867,31421,181308
1043,177273,31452,208741
1044,148645,31435,180100
1045,148448,32527,180990
1046,152173,31181,183373
1047,139769,31069,170849
1048,176752,30997,207768
1049,138381,32016,170416
1050,152687,31321,184021
1051,142438,31366,173824
1052,142876,31391,174282
1053,150770,31289,182073
1054,150850,31810,182682
1055,137920,31136,169076
1056,138355,31298,169672
1057,223968,30985,254968
1058,141338,31243,172595
1059,151132,31333,182480
1060,140218,30980,171212
1061,150442,31431,181885
1062,159192,30687,189893
1063,182066,31445,213524
1064,151787,31546,183347
1065,137973,31196,169184
1066,141097,31466,172578
1067,186016,31119,217149
1068,143102,31639,174755
1069,192518,31461,223992
1070,141022,31719,172755
1071,137808,31778,169601
1072,149849,32465,182327
1073,169703,31768,201485
1074,232487,31474,263976
